Week,Cluster,porcentaje_ganancia_maxima,media_ganancia_peso,media_mililitros,mediana_mililitros,media_segundos_bebedero,mediana_segundos_bebedero,media_segundos_comedero,mediana_segundos_comedero,media_eventos_bebedero,mediana_eventos_bebedero,media_eventos_comedero,mediana_eventos_comedero,numero_datos
3,1,73,0.5362346310756416,37.41842105263158,8.66,18.36842105263158,10.0,84.0,47.0,5.105263157894737,3.0,7.578947368421052,6.0,19
3,2,61,0.44769308808400793,75.82225806451613,27.42,32.0,22.0,77.41935483870968,74.0,7.967741935483871,7.0,8.0,7.0,31
3,3,52,0.38221600886815743,100.1765,57.900000000000006,23.125,13.0,82.05,69.0,6.7,4.5,8.3,7.5,40
3,4,44,0.3200675693994264,40.43076923076923,4.245,23.615384615384617,14.0,77.0,67.5,4.923076923076923,4.0,6.730769230769231,6.0,26
3,5,37,0.2715599785352412,37.51291666666667,16.115,28.583333333333332,26.0,83.0,82.5,6.458333333333333,6.5,9.125,9.0,24
3,6,31,0.22632775500514893,6.625454545454545,0.0,16.454545454545453,12.0,48.81818181818182,32.0,3.727272727272727,4.0,5.7272727272727275,5.0,11
3,7,22,0.1627242712857933,4.2,0.0,21.714285714285715,14.0,63.785714285714285,41.0,3.4285714285714284,3.0,7.357142857142857,6.5,14
3,8,15,0.11062552129555929,100.61111111111111,0.0,34.111111111111114,36.0,109.88888888888889,100.0,8.11111111111111,6.0,10.222222222222221,9.0,9
