Week,Cluster,porcentaje_ganancia_maxima,media_ganancia_peso,media_mililitros,mediana_mililitros,media_segundos_bebedero,mediana_segundos_bebedero,media_segundos_comedero,mediana_segundos_comedero,media_eventos_bebedero,mediana_eventos_bebedero,media_eventos_comedero,mediana_eventos_comedero,numero_datos
5,1,98,0.9742903815819474,158.07999999999998,151.77,30.5,32.0,113.875,132.0,9.5,11.0,14.125,12.0,8
5,2,93,0.9228466506295616,181.658,147.43,30.2,34.0,98.0,65.0,9.2,11.0,11.6,11.0,5
5,3,86,0.8538385922247905,54.4475,25.83,19.666666666666668,14.5,78.0,77.5,5.583333333333333,5.0,11.0,12.0,12
5,4,80,0.7968300553947633,33.88454545454545,19.54,19.90909090909091,24.0,55.45454545454545,44.0,5.818181818181818,7.0,7.636363636363637,7.0,11
5,5,77,0.7592394812782611,52.09,12.805,11.083333333333334,8.5,66.5,51.0,3.3333333333333335,2.0,7.166666666666667,7.5,12
5,6,73,0.7237053381387688,77.50166666666667,23.845,9.333333333333334,6.5,46.833333333333336,45.0,3.25,2.5,5.416666666666667,4.5,12
5,7,67,0.6610993738145896,72.41636363636364,13.33,12.0,8.0,66.45454545454545,53.0,3.5454545454545454,2.0,7.818181818181818,7.0,11
5,8,58,0.5701552483604867,92.7075,18.655,10.916666666666666,5.0,79.0,48.5,4.25,2.0,8.75,8.5,12
5,9,45,0.44718201659348383,60.23636363636363,31.02,15.727272727272727,9.0,49.0,44.0,4.545454545454546,4.0,5.818181818181818,6.0,11
