ID,timestamp,peso,mililitros,segundos_comedero,eventos_comedero,segundos_bebedero,eventos_bebedero,ganancia_peso,eficiencia_comida,eficiencia_agua,frecuencia_comida,frecuencia_bebida,ml_evento,ml_seg,comedero_bebedero,interaccion_comida_bebida,interaccion_eventos_comida
9784,2024-09-19,7.532967586160003,10.2,15.0,2.0,9.0,2.0,0.29734479177935047,0.019822986118623365,0.03303831019770561,0.13333333333333333,0.2222222222222222,5.1,1.1333333333333333,1.6666666666666667,135.0,30.0
9784,2024-09-20,7.880498681252792,59.41,12.0,1.0,7.0,3.0,0.3475310950927884,0.0289609245910657,0.04964729929896977,0.08333333333333333,0.42857142857142855,19.80333333333333,8.487142857142857,1.7142857142857142,84.0,12.0
9784,2024-09-21,8.175446046363088,0.0,0.0,0.0,5.0,1.0,0.2949473651102956,0.0,0.058989473022059126,,0.2,0.0,0.0,0.0,0.0,0.0
9784,2024-09-24,8.712793573201145,27.24,0.0,0.0,8.0,3.0,0.2927935732011445,0.0,0.036599196650143065,,0.375,9.08,3.405,0.0,0.0,0.0
9784,2024-09-27,9.13537472070271,10.440000000000001,0.0,0.0,9.0,3.0,0.4225811475015664,0.0,0.04695346083350738,,0.3333333333333333,3.4800000000000004,1.1600000000000001,0.0,0.0,0.0
9784,2024-09-28,9.452708274364744,22.4,0.0,0.0,24.0,3.0,0.3173335536620339,0.0,0.013222231402584746,,0.125,7.466666666666666,0.9333333333333332,0.0,0.0,0.0
9784,2024-09-29,9.769999999999998,4.52,0.0,0.0,8.0,3.0,0.3172917256352548,0.0,0.03966146570440685,,0.375,1.5066666666666666,0.565,0.0,0.0,0.0
9784,2024-10-01,10.30645129467793,20.35,0.0,0.0,3.0,1.0,0.5364512946779302,0.0,0.17881709822597672,,0.3333333333333333,20.35,6.783333333333334,0.0,0.0,0.0
9784,2024-10-02,10.789643670486626,22.78,0.0,0.0,2.0,1.0,0.4831923758086972,0.0,0.2415961879043486,,0.5,22.78,11.39,0.0,0.0,0.0
9784,2024-10-03,11.289271400353469,21.08,0.0,0.0,2.0,1.0,0.4996277298668423,0.0,0.24981386493342114,,0.5,21.08,10.54,0.0,0.0,0.0
9784,2024-10-04,11.793843241191016,20.22,0.0,0.0,18.0,3.0,0.5045718408375471,0.0,0.028031768935419286,,0.16666666666666666,6.739999999999999,1.1233333333333333,0.0,0.0,0.0
9784,2024-10-05,12.36,0.0,0.0,0.0,17.0,1.0,0.5661567588089829,0.0,0.03330333875346958,,0.058823529411764705,0.0,0.0,0.0,0.0,0.0
9784,2024-10-08,13.021570367718475,120.07,0.0,0.0,45.0,8.0,0.6615703677184759,0.0,0.014701563727077241,,0.17777777777777778,15.00875,2.668222222222222,0.0,0.0,0.0
9784,2024-10-09,13.62598123763483,112.09,0.0,0.0,35.0,6.0,0.604410869916355,0.0,0.01726888199761014,,0.17142857142857143,18.68166666666667,3.202571428571429,0.0,0.0,0.0
9784,2024-10-10,14.254157971115587,160.96,0.0,0.0,23.0,8.0,0.6281767334807564,0.0,0.02731203189046767,,0.34782608695652173,20.12,6.998260869565217,0.0,0.0,0.0
